ecoregion,bin_mid,norm_density,fit,ecoregion_trim,site_id
Azores Canaries Madeira,48,0.037,0.0234076195381575,Azores Canaries ...,330
Azores Canaries Madeira,48,0.02996875,0.036910615001449,Azores Canaries ...,331
Azores Canaries Madeira,48,0.0235625,0.0308310866920051,Azores Canaries ...,332
Azores Canaries Madeira,48,0.01565625,0.0129578043053317,Azores Canaries ...,333
Azores Canaries Madeira,48,0.0055,0.00598302025650997,Azores Canaries ...,334
Azores Canaries Madeira,48,0.007125,0.00802386676988634,Azores Canaries ...,335
Azores Canaries Madeira,48,0.0029375,0.00736174824237504,Azores Canaries ...,336
Azores Canaries Madeira,48,0.02440625,0.0141603692125868,Azores Canaries ...,337
Azores Canaries Madeira,48,0.01875,0.0252326475736529,Azores Canaries ...,338
Azores Canaries Madeira,48,0.0134375,0.0134412597638714,Azores Canaries ...,339
Azores Canaries Madeira,48,0.01778125,0.0285410943369451,Azores Canaries ...,340
Azores Canaries Madeira,48,0.006671875,0.0127869455820918,Azores Canaries ...,341
Azores Canaries Madeira,48,0.00984722222222222,0.0102139848752078,Azores Canaries ...,342
Azores Canaries Madeira,48,0.012265625,0.0130558985549698,Azores Canaries ...,343
Azores Canaries Madeira,48,0.01653125,0.0141781014800899,Azores Canaries ...,344
Azores Canaries Madeira,48,0.007953125,0.00814695220695298,Azores Canaries ...,345
Azores Canaries Madeira,48,0.00483333333333333,0.0056743986671236,Azores Canaries ...,346
Azores Canaries Madeira,48,0.0098125,0.011967934641431,Azores Canaries ...,347
Azores Canaries Madeira,48,0.0299270833333333,0.0347533234776167,Azores Canaries ...,348
Azores Canaries Madeira,48,0.0060625,0.0119256641669845,Azores Canaries ...,349
Azores Canaries Madeira,48,0.01084375,0.0120931033584251,Azores Canaries ...,350
Azores Canaries Madeira,48,0.00654166666666667,0.00668979493378319,Azores Canaries ...,351
Azores Canaries Madeira,48,0.008015625,0.00820807509090913,Azores Canaries ...,352
Azores Canaries Madeira,48,0.0135,0.00914543715098803,Azores Canaries ...,353
Azores Canaries Madeira,48,0.0201458333333333,0.0308778647554294,Azores Canaries ...,354
Azores Canaries Madeira,48,0.02034375,0.0184431823891435,Azores Canaries ...,355
Azores Canaries Madeira,48,0.0178125,0.0163295042843957,Azores Canaries ...,356
Azores Canaries Madeira,48,0.0122291666666667,0.0102579834062116,Azores Canaries ...,357
Azores Canaries Madeira,48,0.00196875,0.00171824134519924,Azores Canaries ...,358
Azores Canaries Madeira,48,0.00525,0.00601658045517086,Azores Canaries ...,359
Azores Canaries Madeira,48,0.06446875,0.0451391689683623,Azores Canaries ...,360
Azores Canaries Madeira,48,0.024375,0.00839932861430484,Azores Canaries ...,361
Azores Canaries Madeira,48,0.0349375,0.0106710499799237,Azores Canaries ...,362
Azores Canaries Madeira,48,0.0243125,0.00905806495903846,Azores Canaries ...,363
Azores Canaries Madeira,48,0.017875,0.00802120349832048,Azores Canaries ...,364
Azores Canaries Madeira,48,0.00585416666666667,0.00556259560298761,Azores Canaries ...,365
Azores Canaries Madeira,48,0.01215625,0.00895017472203565,Azores Canaries ...,366
Azores Canaries Madeira,48,0.2229375,0.0110565515121559,Azores Canaries ...,367
Azores Canaries Madeira,48,0.00289583333333333,0.00429881239583579,Azores Canaries ...,368
Azores Canaries Madeira,48,0.0158125,0.0117180618241765,Azores Canaries ...,369
Azores Canaries Madeira,48,0.029875,0.0112087229623686,Azores Canaries ...,370
Azores Canaries Madeira,48,0.0045625,0.004556505868098,Azores Canaries ...,371
Azores Canaries Madeira,48,0.066125,0.0620544492842102,Azores Canaries ...,372
Azores Canaries Madeira,48,0.02109375,0.0173891851201927,Azores Canaries ...,373
Azores Canaries Madeira,48,0.0436875,0.0237833997912569,Azores Canaries ...,374
Azores Canaries Madeira,48,0.0265,0.0135037548180602,Azores Canaries ...,375
Azores Canaries Madeira,48,0.0345625,0.0160088465909016,Azores Canaries ...,376
Azores Canaries Madeira,48,0.00134375,0.00310562136003489,Azores Canaries ...,377
Azores Canaries Madeira,48,0.00215625,0.00439379443575239,Azores Canaries ...,378
Azores Canaries Madeira,48,0.00485416666666667,0.00869004359308842,Azores Canaries ...,379
Azores Canaries Madeira,48,0.0199375,0.0157843620247635,Azores Canaries ...,380
Azores Canaries Madeira,48,0.0303125,0.0203141016775174,Azores Canaries ...,381
Azores Canaries Madeira,48,0.07396875,0.017687029488008,Azores Canaries ...,382
Azores Canaries Madeira,48,0.00603125,0.00579973835120471,Azores Canaries ...,383
